case_id,pkt_id,src_rid,dst_rid,msg_class,vc_id,pkt_len,inject_cycle,finish_cycle,latency,status,error_code
430,1009,7,0,RESP,3,3,3979520,3979536,16,PASS,PASS
430,1010,1,0,RESP,3,5,3979520,3979535,15,PASS,PASS
431,1011,1,5,RESP,2,5,3996571,3996588,17,PASS,PASS
431,1012,4,1,REQ,1,4,3996571,3996583,12,PASS,PASS
431,1013,2,0,RESP,3,4,3996571,3996586,15,PASS,PASS
432,1014,3,2,RESP,3,5,4013622,4013642,20,PASS,PASS
432,1015,0,5,REQ,0,3,4013622,4013638,16,PASS,PASS
432,1016,2,7,RESP,2,5,4013622,4013642,20,PASS,PASS
433,1017,2,8,RESP,3,5,4030673,4030691,18,PASS,PASS
433,1018,0,5,RESP,3,4,4030673,4030691,18,PASS,PASS
433,1019,5,2,REQ,1,3,4030673,4030683,10,PASS,PASS
434,1020,5,7,REQ,0,3,4047724,4047737,13,PASS,PASS
434,1021,8,3,RESP,2,2,4047724,4047738,14,PASS,PASS
434,1022,7,5,REQ,1,2,4047724,4047735,11,PASS,PASS
435,1023,0,4,RESP,3,2,4064775,4064786,11,PASS,PASS
435,1024,6,1,REQ,1,5,4064775,4064795,20,PASS,PASS
435,1025,2,3,REQ,1,2,4064775,4064789,14,PASS,PASS
436,1026,6,5,REQ,0,4,4081826,4081844,18,PASS,PASS
436,1027,4,6,RESP,3,4,4081826,4081841,15,PASS,PASS
436,1028,5,2,REQ,0,3,4081826,4081836,10,PASS,PASS
437,1029,3,8,RESP,3,2,4098877,4098891,14,PASS,PASS
437,1030,0,7,REQ,1,5,4098877,4098897,20,PASS,PASS
437,1031,6,8,RESP,3,6,4098877,4098896,19,PASS,PASS
438,1032,7,8,RESP,2,3,4115928,4115938,10,PASS,PASS
438,1033,8,3,RESP,3,4,4115928,4115946,18,PASS,PASS
438,1034,4,5,REQ,1,4,4115928,4115940,12,PASS,PASS
439,1035,6,1,RESP,2,4,4132979,4132997,18,PASS,PASS
439,1036,5,8,REQ,0,6,4132979,4132995,16,PASS,PASS
439,1037,8,0,RESP,3,2,4132979,4132996,17,PASS,PASS
440,1038,2,8,REQ,1,4,4150030,4150045,15,PASS,PASS
440,1039,5,7,RESP,2,5,4150030,4150047,17,PASS,PASS
440,1040,0,7,REQ,1,6,4150030,4150052,22,PASS,PASS
441,1041,6,3,REQ,1,2,4167081,4167089,8,PASS,PASS
441,1042,7,2,RESP,3,5,4167081,4167101,20,PASS,PASS
441,1043,0,4,RESP,3,3,4167081,4167094,13,PASS,PASS
442,1044,6,1,RESP,3,4,4184132,4184150,18,PASS,PASS
442,1045,5,4,RESP,3,3,4184132,4184142,10,PASS,PASS
442,1046,2,0,REQ,1,3,4184132,4184145,13,PASS,PASS
443,1047,7,8,RESP,3,3,4201183,4201193,10,PASS,PASS
443,1048,6,0,REQ,1,2,4201183,4201194,11,PASS,PASS
443,1049,4,8,REQ,1,6,4201183,4201202,19,PASS,PASS
444,1050,2,4,REQ,0,3,4218234,4218247,13,PASS,PASS
444,1051,1,4,REQ,1,3,4218234,4218244,10,PASS,PASS
444,1052,5,6,REQ,1,6,4218234,4218256,22,PASS,PASS
445,1053,0,3,RESP,3,6,4235285,4235302,17,PASS,PASS
445,1054,2,4,RESP,2,6,4235285,4235304,19,PASS,PASS
445,1055,8,3,RESP,2,5,4235285,4235305,20,PASS,PASS
446,1056,7,2,REQ,0,6,4252336,4252358,22,PASS,PASS
446,1057,2,5,RESP,3,7,4252336,4252354,18,PASS,PASS
446,1058,0,3,REQ,1,2,4252336,4252344,8,PASS,PASS
447,1059,1,6,RESP,2,5,4269387,4269407,20,PASS,PASS
447,1060,6,0,RESP,3,7,4269387,4269408,21,PASS,PASS
447,1061,3,1,REQ,0,2,4269387,4269398,11,PASS,PASS
448,1062,2,6,REQ,0,3,4286438,4286457,19,PASS,PASS
448,1063,4,1,RESP,3,3,4286438,4286448,10,PASS,PASS
448,1064,1,2,RESP,3,2,4286438,4286446,8,PASS,PASS
449,1065,2,4,REQ,1,5,4303489,4303507,18,PASS,PASS
449,1066,7,3,REQ,0,2,4303489,4303500,11,PASS,PASS
449,1067,8,4,REQ,0,6,4303489,4303508,19,PASS,PASS
450,1068,5,1,RESP,3,4,4320540,4320555,15,PASS,PASS
450,1069,7,3,RESP,3,6,4320540,4320559,19,PASS,PASS
450,1070,0,6,RESP,3,3,4320540,4320553,13,PASS,PASS
451,1071,7,8,REQ,0,2,4337591,4337599,8,PASS,PASS
451,1072,1,0,REQ,0,3,4337591,4337601,10,PASS,PASS
451,1073,8,3,RESP,3,3,4337591,4337607,16,PASS,PASS
452,1074,8,5,REQ,0,6,4354642,4354658,16,PASS,PASS
452,1075,7,8,RESP,3,7,4354642,4354660,18,PASS,PASS
452,1076,2,4,REQ,0,4,4354642,4354657,15,PASS,PASS
453,1077,1,5,RESP,2,2,4371693,4371704,11,PASS,PASS
453,1078,5,3,RESP,3,7,4371693,4371714,21,PASS,PASS
453,1079,7,1,REQ,1,3,4371693,4371706,13,PASS,PASS
454,1080,2,6,REQ,1,2,4388744,4388761,17,PASS,PASS
454,1081,0,3,REQ,1,3,4388744,4388754,10,PASS,PASS
454,1082,6,7,REQ,1,7,4388744,4388762,18,PASS,PASS
455,1083,5,8,RESP,2,2,4405795,4405803,8,PASS,PASS
455,1084,2,0,RESP,2,6,4405795,4405814,19,PASS,PASS
455,1085,6,4,REQ,1,2,4405795,4405806,11,PASS,PASS
456,1086,6,3,REQ,1,6,4422846,4422863,17,PASS,PASS
456,1087,3,6,REQ,0,5,4422846,4422860,14,PASS,PASS
456,1088,8,0,RESP,3,5,4422846,4422869,23,PASS,PASS
457,1089,0,2,REQ,1,3,4439897,4439910,13,PASS,PASS
457,1090,6,5,RESP,2,3,4439897,4439913,16,PASS,PASS
457,1091,4,6,RESP,2,5,4439897,4439914,17,PASS,PASS
458,1092,5,4,REQ,1,4,4456948,4456960,12,PASS,PASS
458,1093,6,5,RESP,3,5,4456948,4456968,20,PASS,PASS
458,1094,2,0,RESP,2,4,4456948,4456963,15,PASS,PASS
459,1095,7,4,RESP,3,6,4473999,4474015,16,PASS,PASS
459,1096,3,4,RESP,2,6,4473999,4474016,17,PASS,PASS
459,1097,2,7,REQ,1,5,4473999,4474019,20,PASS,PASS
460,1098,8,6,REQ,0,4,4491050,4491065,15,PASS,PASS
460,1099,6,5,REQ,0,6,4491050,4491072,22,PASS,PASS
460,1100,3,6,REQ,0,5,4491050,4491064,14,PASS,PASS
461,1101,0,5,RESP,3,5,4508101,4508121,20,PASS,PASS
461,1102,4,1,RESP,2,7,4508101,4508119,18,PASS,PASS
461,1103,5,3,REQ,1,6,4508101,4508120,19,PASS,PASS
462,1104,5,0,REQ,0,6,4525152,4525174,22,PASS,PASS
462,1105,8,0,RESP,3,7,4525152,4525179,27,PASS,PASS
462,1106,1,4,REQ,1,5,4525152,4525166,14,PASS,PASS
463,1107,0,2,REQ,0,7,4542203,4542224,21,PASS,PASS
463,1108,2,7,RESP,3,7,4542203,4542227,24,PASS,PASS
463,1109,3,5,RESP,3,7,4542203,4542224,21,PASS,PASS
464,1110,8,1,RESP,3,2,4559254,4559268,14,PASS,PASS
464,1111,4,0,RESP,2,4,4559254,4559269,15,PASS,PASS
464,1112,6,5,RESP,3,4,4559254,4559272,18,PASS,PASS
465,1113,0,6,REQ,0,4,4576305,4576320,15,PASS,PASS
465,1114,3,8,RESP,2,7,4576305,4576329,24,PASS,PASS
