case_id,pkt_id,src_rid,dst_rid,msg_class,vc_id,pkt_len,inject_cycle,finish_cycle,latency,status,error_code
2547,2411,2,3,REQ,1,3,,,16,PASS,PASS
2548,2412,5,7,RESP,2,7,,,21,PASS,PASS
2548,2413,6,4,RESP,3,7,,,21,PASS,PASS
2548,2414,0,5,REQ,1,5,,,20,PASS,PASS
2549,2415,7,0,RESP,3,7,,,24,PASS,PASS
2549,2416,1,8,RESP,2,3,,,16,PASS,PASS
2549,2417,3,5,REQ,1,4,,,15,PASS,PASS
2550,2418,2,6,RESP,3,4,,,21,PASS,PASS
2550,2419,4,0,REQ,1,6,,,19,PASS,PASS
2550,2420,6,8,REQ,0,4,,,15,PASS,PASS
2551,2421,2,0,RESP,2,5,,,17,PASS,PASS
2551,2422,7,3,RESP,2,7,,,21,PASS,PASS
2551,2423,5,2,RESP,2,5,,,14,PASS,PASS
2552,2424,6,5,REQ,0,3,,,16,PASS,PASS
2552,2425,3,6,REQ,0,6,,,17,PASS,PASS
2552,2426,1,6,RESP,3,5,,,20,PASS,PASS
2553,2427,1,3,REQ,0,4,,,15,PASS,PASS
2553,2428,8,3,RESP,2,3,,,16,PASS,PASS
2553,2429,6,1,REQ,0,4,,,18,PASS,PASS
2554,2430,6,0,REQ,1,4,,,15,PASS,PASS
2554,2431,8,5,REQ,0,4,,,12,PASS,PASS
2554,2432,7,5,RESP,2,5,,,17,PASS,PASS
2555,2433,8,4,REQ,1,5,,,17,PASS,PASS
2555,2434,3,1,RESP,3,4,,,15,PASS,PASS
2555,2435,6,5,RESP,3,2,,,14,PASS,PASS
2556,2436,6,3,REQ,1,3,,,10,PASS,PASS
2556,2437,0,2,REQ,0,6,,,19,PASS,PASS
2556,2438,7,3,REQ,1,7,,,21,PASS,PASS
2557,2439,5,3,RESP,2,6,,,19,PASS,PASS
2557,2440,8,4,RESP,3,3,,,13,PASS,PASS
2557,2441,1,4,RESP,3,3,,,10,PASS,PASS
2558,2442,2,5,RESP,3,2,,,8,PASS,PASS
2558,2443,7,3,REQ,0,7,,,21,PASS,PASS
2558,2444,4,6,REQ,0,5,,,17,PASS,PASS
2559,2445,6,3,RESP,3,5,,,14,PASS,PASS
2559,2446,0,6,REQ,0,3,,,13,PASS,PASS
2559,2447,5,2,REQ,1,7,,,18,PASS,PASS
2560,2448,6,0,REQ,1,6,,,19,PASS,PASS
2560,2449,1,2,REQ,1,7,,,18,PASS,PASS
2560,2450,3,8,RESP,3,5,,,20,PASS,PASS
2561,2451,5,0,RESP,2,2,,,14,PASS,PASS
2561,2452,4,6,REQ,1,3,,,13,PASS,PASS
2561,2453,1,4,RESP,2,6,,,16,PASS,PASS
2562,2454,5,1,REQ,0,5,,,17,PASS,PASS
2562,2455,6,0,REQ,1,7,,,21,PASS,PASS
2562,2456,2,5,RESP,2,2,,,8,PASS,PASS
2563,2457,5,8,RESP,3,5,,,14,PASS,PASS
2563,2458,1,6,RESP,3,5,,,20,PASS,PASS
2563,2459,6,3,REQ,0,4,,,12,PASS,PASS
2564,2460,4,7,RESP,3,5,,,15,PASS,PASS
2564,2461,0,7,RESP,2,7,,,24,PASS,PASS
2564,2462,6,5,REQ,1,6,,,22,PASS,PASS
2565,2463,8,7,REQ,0,3,,,10,PASS,PASS
2565,2464,3,6,RESP,2,4,,,12,PASS,PASS
2565,2465,5,0,RESP,2,5,,,20,PASS,PASS
