case_id,pkt_done,case_pass,case_fail,latency_sum,latency_min,latency_max,latency_avg
677,2,2,0,24,12,12,12.0
678,2,2,0,18,9,9,9.0
679,2,2,0,18,9,9,9.0
680,2,2,0,27,12,15,13.5
681,2,2,0,12,6,6,6.0
682,2,2,0,18,6,12,9.0
683,2,2,0,18,6,12,9.0
684,2,2,0,15,6,9,7.5
685,2,2,0,15,6,9,7.5
686,2,2,0,15,6,9,7.5
687,2,2,0,21,6,15,10.5
688,2,2,0,15,6,9,7.5
689,2,2,0,15,6,9,7.5
690,2,2,0,21,9,12,10.5
691,2,2,0,18,6,12,9.0
692,2,2,0,21,9,12,10.5
693,2,2,0,18,9,9,9.0
694,2,2,0,18,6,12,9.0
695,2,2,0,18,6,12,9.0
696,2,2,0,12,6,6,6.0
697,2,2,0,21,9,12,10.5
698,2,2,0,21,9,12,10.5
699,2,2,0,18,6,12,9.0
700,2,2,0,21,9,12,10.5
701,2,2,0,15,6,9,7.5
702,2,2,0,27,12,15,13.5
703,2,2,0,18,9,9,9.0
704,2,2,0,21,9,12,10.5
705,2,2,0,18,6,12,9.0
706,2,2,0,15,6,9,7.5
707,2,2,0,18,6,12,9.0
708,2,2,0,15,6,9,7.5
709,2,2,0,15,6,9,7.5
710,2,2,0,15,6,9,7.5
711,2,2,0,15,6,9,7.5
712,2,2,0,18,9,9,9.0
713,2,2,0,12,6,6,6.0
714,2,2,0,18,6,12,9.0
715,2,2,0,15,6,9,7.5
716,2,2,0,18,6,12,9.0
717,2,2,0,12,6,6,6.0
718,2,2,0,15,6,9,7.5
719,2,2,0,18,6,12,9.0
720,2,2,0,18,9,9,9.0
721,2,2,0,18,6,12,9.0
722,2,2,0,18,9,9,9.0
723,2,2,0,15,6,9,7.5
724,2,2,0,18,9,9,9.0
725,2,2,0,15,6,9,7.5
726,2,2,0,18,6,12,9.0
727,2,2,0,18,9,9,9.0
728,2,2,0,15,6,9,7.5
729,2,2,0,15,6,9,7.5
730,2,2,0,15,6,9,7.5
731,2,2,0,18,6,12,9.0
732,2,2,0,12,6,6,6.0
733,2,2,0,24,9,15,12.0
734,2,2,0,24,12,12,12.0
735,2,2,0,15,6,9,7.5
736,2,2,0,18,6,12,9.0
737,2,2,0,18,6,12,9.0
738,2,2,0,15,6,9,7.5
739,2,2,0,24,9,15,12.0
740,2,2,0,15,6,9,7.5
741,2,2,0,15,6,9,7.5
742,2,2,0,15,6,9,7.5
743,2,2,0,15,6,9,7.5
744,2,2,0,21,9,12,10.5
745,2,2,0,24,9,15,12.0
746,2,2,0,18,9,9,9.0
747,2,2,0,15,6,9,7.5
748,2,2,0,24,9,15,12.0
749,2,2,0,18,9,9,9.0
750,2,2,0,15,6,9,7.5
751,2,2,0,18,6,12,9.0
752,2,2,0,15,6,9,7.5
753,2,2,0,21,9,12,10.5
754,2,2,0,21,9,12,10.5
755,2,2,0,15,6,9,7.5
756,2,2,0,21,9,12,10.5
757,2,2,0,21,9,12,10.5
758,2,2,0,15,6,9,7.5
759,2,2,0,15,6,9,7.5
760,2,2,0,18,6,12,9.0
761,2,2,0,15,6,9,7.5
762,2,2,0,18,9,9,9.0
763,2,2,0,18,6,12,9.0
764,2,2,0,15,6,9,7.5
765,2,2,0,21,6,15,10.5
